iter	RMSE
0	654.9706453
1	638.2185995
2	626.356075
3	614.3837923
4	599.252555
5	584.7056309
6	571.6923002
7	559.0775727
8	547.4030595
9	536.9873432
10	526.9755483
11	518.8467176
12	510.2390713
13	502.0903555
14	493.825362
15	485.7893735
16	480.3597553
17	473.7991371
18	467.7220588
19	461.9775163
20	455.9720724
21	450.364491
22	445.1197169
23	440.7341911
24	435.9988486
25	431.9607475
26	427.7486214
27	423.8643516
28	420.6433622
29	417.1835049
30	414.0659098
31	411.2732448
32	408.8050365
33	406.3307599
34	404.1567626
35	401.5148508
36	399.2997974
37	397.1714342
38	395.0204194
39	392.7158616
40	390.6336069
41	388.7608527
42	386.6115646
43	384.6644668
44	382.8901201
45	381.5422306
46	379.8237939
47	378.2526227
48	376.7071763
49	375.3100685
50	374.1115426
51	372.5145416
52	371.1883354
53	369.8153642
54	368.6681448
55	367.4303696
56	366.2911426
57	365.1623983
58	364.1066796
59	362.9677444
60	361.8596954
61	360.8226216
62	359.7644006
63	358.909621
64	358.1029299
65	357.1036497
66	356.5360613
67	355.6565492
68	354.6652406
69	353.8253359
70	353.0607118
71	352.486116
72	351.8829874
73	351.28546
74	350.5830502
75	350.0547342
76	349.4360657
77	348.7931762
78	348.1725093
79	347.4222473
80	346.8442339
81	346.1520933
82	345.5538993
83	344.9969368
84	344.4519364
85	343.5662695
86	342.5994324
87	342.1002113
88	341.4785732
89	340.7914247
90	340.1477276
91	339.5816646
92	339.077305
93	338.6078481
94	337.9290651
95	337.5239013
96	336.993398
97	336.4661048
98	336.0535911
99	335.5500506
100	335.1745425
101	334.5780789
102	333.8449265
103	333.3832537
104	332.8148241
105	332.3430323
106	332.0078154
107	331.6000794
108	331.2330355
109	330.9153171
110	330.5578517
111	330.2333954
112	329.8920617
113	329.5421568
114	329.1944605
115	328.7751381
116	328.4106381
117	328.0872426
118	327.7098182
119	327.4047604
120	327.1009064
121	326.7868112
122	326.4766036
123	326.1885581
124	325.8605495
125	325.4946297
126	325.2484823
127	324.7877902
128	324.3755458
