iter	Passed	Remaining
0	1	1482
1	2	1183
2	3	999
3	3	885
4	4	813
5	4	745
6	5	716
7	5	679
8	5	646
9	6	627
10	6	613
11	7	606
12	7	591
13	8	575
14	8	559
15	8	547
16	9	535
17	9	524
18	10	518
19	10	520
20	11	518
21	11	516
22	12	521
23	12	516
24	13	508
25	13	518
26	14	522
27	14	517
28	15	511
29	15	507
30	16	505
31	16	507
32	17	506
33	17	500
34	18	496
35	18	494
36	19	502
37	20	506
38	20	506
39	20	503
40	21	498
41	21	495
42	22	503
43	23	501
44	23	497
45	23	493
46	24	493
47	24	494
48	25	493
49	25	489
50	26	485
51	26	482
52	26	481
53	27	480
54	27	480
55	28	479
56	28	479
57	29	478
58	29	476
59	30	473
60	30	472
61	31	471
62	31	470
63	32	468
64	32	467
65	32	466
66	33	464
67	33	462
68	34	461
69	34	460
70	35	459
71	35	456
72	36	457
73	36	457
74	37	456
75	37	454
76	37	453
77	38	451
78	38	452
79	39	454
80	40	454
81	40	452
82	40	450
83	41	450
84	41	449
85	42	449
86	42	450
87	43	452
88	44	452
89	44	450
90	45	452
91	46	455
92	46	455
93	47	454
94	47	452
95	47	451
96	48	450
97	48	449
98	49	448
99	49	446
100	49	444
101	50	443
102	51	445
103	51	444
104	51	443
105	52	443
106	52	441
107	53	440
108	53	441
109	54	439
110	54	438
111	55	437
112	55	435
113	55	434
114	56	434
115	56	433
116	57	432
117	57	432
118	58	431
119	58	429
120	59	431
121	59	430
122	60	429
123	60	429
124	61	428
125	61	427
126	62	427
127	62	425
128	62	424
129	63	423
130	64	429
131	65	429
132	65	428
133	66	427
134	66	426
135	66	424
136	67	423
137	67	422
138	68	421
139	68	421
140	69	421
141	69	420
142	70	419
143	70	419
144	71	418
145	71	417
146	71	417
147	72	417
148	72	416
149	73	415
150	73	414
151	74	413
152	74	412
153	74	410
154	75	410
155	75	409
156	76	410
157	76	409
158	77	409
159	77	408
160	78	407
161	78	407
162	79	407
163	80	409
164	80	409
165	81	408
166	81	407
167	82	407
168	82	407
169	83	406
170	83	405
171	84	404
172	84	403
173	84	402
174	85	402
175	85	402
176	86	401
177	86	400
178	87	399
179	87	398
180	88	398
181	88	397
182	88	396
183	89	395
184	89	395
185	90	394
186	90	394
187	91	393
